Location,Operator,Flight #,Route,AC Type,Registration,cn/ln,Aboard,Aboard Passangers,Aboard Crew,Fatalities,Fatalities Passangers,Fatalities Crew,Ground,Summary,Month,Year,TimePeriod,Location_encoded,Operator_encoded,AC Type_encoded,Route_encoded,Fatality Rate,Survival Rate,Season
Germany,Military - German,Unknown,Unknown,Zeppelin L-70 (airship),Unknown,,22.0,,,22.0,,,0.0,"Shot down by British aircraft crashing from a height of 17,000 ft.",5,1918,Unknown,184,1272,2355,3613,1.0,0.0,Spring
North Sea,Military - German,Unknown,Unknown,Zeppelin L-53 (airship),Unknown,,19.0,,,19.0,,,0.0,Shot down by british aircraft.,8,1918,Morning,343,1272,2353,3613,1.0,0.0,Summer
New Jersey,US Aerial Mail Service,Unknown,Unknown,De Havilland DH-4,97,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,Carl Smith was killed when his mail plane feet 500 feet while attempting to land. He tried to reposition the aircraft after the wind shifted and lost control of the plane and dived into the ground.,12,1918,Unknown,329,2010,974,3613,1.0,0.0,Winter
Ohio,US Aerial Mail Service,Unknown,Unknown,De Havilland DH-4,61,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,Caught fire in midair. The pilot leaped from the plane to his death as the plane began to go into a dive.,5,1919,Unknown,379,2010,974,3613,1.0,0.0,Spring
Pennsylvania,US Aerial Mail Service,Unknown,Unknown,De Havilland DH-4,82,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,The mail plane crashed under unknown circumstances.,7,1919,Unknown,405,2010,974,3613,1.0,0.0,Summer
Illinois,Wingfoot Air Express Goodyear Tire,Unknown,Shuttle,FD Type Dirigible,Unknown,,,,,3.0,2.0,1.0,10.0," The dirigible, cruising at 1,200 ft. caught fire and crashed into the Illinois Trust and Savings Building in Chicago. The was transporting people from Grant Park to the White City amusement park.[1] One crew member, two passengers, and ten bank employees were killed",7,1919,Afternoon,218,2133,1270,3238,,,Summer
Italy,Caproni Company,Unknown,Venice  Taliedo,Caproni Ca.48,Unknown,,14.0,12.0,2.0,14.0,12.0,2.0,0.0,As the plane was passing over Verona the wings began to flutter and then collapsed and crashed. Sources differ as to the number of deaths with some reporting 15 or 17.,8,1919,Unknown,233,577,793,3646,1.0,0.0,Summer
England,Aircraft Transport and Travel,Unknown,Unknown,De Havilland DH-4,Unknown,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,,10,1919,Unknown,162,302,974,3613,1.0,0.0,Fall
Maryland,US Aerial Mail Service,Unknown,Unknown,Curtiss R-4LM,32,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,"The pilot was performing a mail flight to Baltimore. While on final approach, in fog, the aircraft hit tree tops and crashed into the woods.",10,1919,Unknown,277,2010,948,3613,1.0,0.0,Fall
Kent,Aircraft Transport and Travel,Unknown,Unknown,De Havilland DH-4,G-EAHG,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Crashed into the sea while attempting to land in fog.,10,1919,Unknown,243,302,974,3613,,,Fall
New Jersey,US Aerial Mail Service,Unknown,Unknown,De Havilland DH.4,77,77,1.0,0.0,1.0,1.0,0.0,1.0,0.0,"While on a mail flight to New York the pilot encountered bad weather conditions and reduced his altitude to maintain a visual contact with the ground. Eventually, he decided to make an emergency landing in Long Valley, west of Newark. Aircraft hit the ground and crashed.",10,1919,Unknown,329,2010,983,3613,1.0,0.0,Fall
UK,Aircraft Travel Transport,Unknown,Paris - Hounslow,de Havilland DH-4,G-EAHF,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Crashed in a field while attemptting to land.,12,1919,Unknown,504,303,2409,2681,1.0,0.0,Winter
Indiana,US Aerial Mail Service,Unknown,Unknown,De Havilland DH-4,65,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,"While on a a mail flight, the aircraft hit trees in fog and crashed in a wooded area.",3,1920,Unknown,224,2010,974,3613,1.0,0.0,Spring
New Jersey,US Aerial Mail Service,Unknown,Washington - Newark,De Havilland DH-4,72,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,George Sherlock was killed when his mail plane crashed into a chimney while attempting to land at Heller Field in poor visibility.,3,1920,Unknown,329,2010,974,3716,1.0,0.0,Spring
New Jersey,US Aerial Mail Service,Unknown,Unknown,Curtiss R-4LM,49,,2.0,1.0,1.0,1.0,0.0,1.0,0.0,After a fire erupted in flight the pilot decided to make an emergency landing but the aircraft crashed.,4,1920,Unknown,329,2010,948,3613,0.5,0.5,Spring
New Jersey,US Aerial Mail Service,Unknown,Unknown,Curtiss JN-4H,44,,2.0,1.0,1.0,1.0,0.0,1.0,0.0,The aircraft crashed while on approach for unknown reasons.,4,1920,Unknown,329,2010,947,3613,0.5,0.5,Spring
Iowa,US Aerial Mail Service,Unknown,Unknown,De Havilland DH-4,79,,2.0,1.0,1.0,1.0,1.0,0.0,0.0,"In worsening weather conditions, the pilot lost his sense of orientation and crashed in a field.",5,1920,Unknown,227,2010,974,3613,0.5,0.5,Spring
Ohio,US Aerial Mail Service,Unknown,Unknown,De Havilland DH-4,204,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,The aircraft suffered engine failure and crashed shortly after taking off.,6,1920,Unknown,379,2010,974,3613,1.0,0.0,Summer
Columbia,Compañia Colombiana de Navegación Aérea,Unknown,Unknown,Farman F-40,Unknown,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Crashed while taking off after engine failure. Engine failure due to fuel exhaustion.,7,1920,Unknown,123,663,1323,3613,1.0,0.0,Summer
England,By Air,Unknown,Unknown,Armstrong-Whitworth F-K-8,G-EALW,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,The plane crashed during a cargo flight under unknown circumstances.,8,1920,Unknown,162,544,208,3613,1.0,0.0,Summer
Maryland,US Aerial Mail Service,Unknown,Unknown,De Havilland DH-4,317,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,"While approaching in poor visibility to land, the plane hit a radio mast and crashed in flames.",8,1920,Unknown,277,2010,974,3613,1.0,0.0,Summer
New Jersey,US Aerial Mail Service,Unknown,Unknown,Junkers JL-6,305,,2.0,0.0,2.0,2.0,0.0,2.0,0.0,"While en route, the mail plane went out of control and crashed after experiencing an in flight fire.",9,1920,Unknown,329,2010,1570,3613,1.0,0.0,Fall
Ohio,US Aerial Mail Service,Unknown,Unknown,Junkers F-13,308,,2.0,,,2.0,,,0.0,The pilot crashed after attempting to make an emergency landing after the engine caught fire.,9,1920,Unknown,379,2010,1565,3613,1.0,0.0,Fall
Pennsylvania,US Aerial Mail Service,Unknown,Unknown,De Havilland DH-4,316,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,The plane struck power lines and crashed in flames after flying at a low altitude in poor visibility.,9,1920,Unknown,405,2010,974,3613,1.0,0.0,Fall
France,Latecoere Airlines,Unknown,Unknown,Salmson 2-A-2,F-ALAI,31,2.0,1.0,1.0,2.0,1.0,1.0,0.0,Crashed into the Mediterranean while on a mail flight.,10,1920,Unknown,173,1102,2016,3613,1.0,0.0,Fall
Spain,Latecoere Airlines,Unknown,Unknown,Breguet 14,F-ALTA,20,2.0,1.0,1.0,2.0,1.0,1.0,0.0,While on a mail flight the plane crashed while attempting to land.,10,1920,Unknown,470,1102,663,3613,1.0,0.0,Fall
Illinois,US Aerial Mail Service,Unknown,Unknown,De Havilland DH-4,76,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,While attempting to land in fog the aircraft hit an obstruction and crashed.,10,1920,Unknown,218,2010,974,3613,1.0,0.0,Fall
Wyoming,US Aerial Mail Service,Unknown,Unknown,De Havilland DH-4,Unknown,178,1.0,0.0,1.0,1.0,0.0,1.0,0.0,The aircraft crashed into a mountain in poor weather condtions.,11,1920,Unknown,539,2010,974,3613,1.0,0.0,Fall
England,Handley Page Transport,Unknown,London - Paris,Handley Page HP-16,G-EAMA,HP-25,8.0,6.0,2.0,4.0,2.0,2.0,0.0,The plane failed to gain altitude after taking off from Criclklewood and crashed into a tree and a house. Pilot error in taking off towards a hill in unfavorable wind conditions and fog.The first commercial air disaster to result in passenger fatalities during a regularly scheduled service..,12,1920,Afternoon,162,916,1442,1927,0.5,0.5,Winter
Spain,Aeropostale,Unknown,Unknown,Breguet 14,F-ALBO,57,1.0,0.0,1.0,1.0,0.0,1.0,0.0,The aircraft stalled and crashed when an engine failed.,12,1920,Unknown,470,129,663,3613,1.0,0.0,Winter
Minnisota,US Aerial Mail Service,Unknown,Unknown,De Havilland DH-4,130,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,Shortly after takeoff from Minneapolis-World Chamberlain Field the engine failed. The aircraft lost altitude and crashed  in a field.,2,1921,Unknown,290,2010,974,3613,1.0,0.0,Winter
Wisconsin,US Aerial Mail Service,Unknown,Unknown,Junkers F-13,301,,3.0,0.0,3.0,3.0,0.0,3.0,0.0,Crashed for unknown reasons. Both pilots and the mechanic were killed.,2,1921,Unknown,537,2010,1565,3613,1.0,0.0,Winter
Off Gibraltar,Aeropostale,Unknown,Unknown,Breguet 14,F-ALBA,,2.0,0.0,2.0,2.0,0.0,2.0,0.0,The mail fligh encountered poor weather conditions and crashed into the ocean while on approach to Gibraltar. The bodies of the crew were never recovered.,2,1921,Unknown,356,129,663,3613,1.0,0.0,Winter
Nevada,US Aerial Mail Service,Unknown,Unknown,De Havilland DH-4,67,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,"Shortly after taking off, the aircraft stalled and crashed .",2,1921,Unknown,326,2010,974,3613,1.0,0.0,Winter
Australia,Military - Royal,Unknown,Unknown,  	 Avro 504,H3021,,2.0,0.0,0.0,2.0,0.0,0.0,0.0,"Shortly after taking off on a training flight, the aircraft dove into the ground and exploded in flames.",4,1921,Unknown,60,1314,7,3613,1.0,0.0,Spring
NY,US Aerial Mail Service,Unknown,Unknown,De Havilland DH-4,160,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,After taking off the aircraft stalled and crashed.,4,1921,Unknown,304,2010,974,3613,1.0,0.0,Spring
Ohio,US Aerial Mail Service,Unknown,Unknown,De Havilland DH-4,196,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,"The aircraft crashed in a field, short of the runway, a few minutes before its scheduled arrival in Cleveland. The weather was poor with fog.",4,1921,Unknown,379,2010,974,3613,1.0,0.0,Spring
Wyoming,US Aerial Mail Service,Unknown,Unknown,De Havilland DH-4 De Havilland DH-4,176,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,Crashed while attempting to land.,5,1921,Unknown,539,2010,975,3613,1.0,0.0,Spring
France,Aeropostale,Unknown,Unknown,Breguet 14,F-ALBI,,2.0,,,2.0,,,0.0,,8,1921,Unknown,173,129,663,3613,1.0,0.0,Summer
England,Military - Royal,Unknown,Unknown,Royal Airship Works ZR-2 (airship),R-38,R-38,46.0,0.0,46.0,46.0,0.0,46.0,1.0,Crashed due to structural failure followed by two explosions and a fire. Attributed to faulty design.,8,1921,Afternoon,162,1314,2001,3613,1.0,0.0,Summer
France,Franco-Roumaine,Unknown,Warsaw - Prague - Strasbourg - Paris,Potez IX,F-ADCD,160,5.0,4.0,1.0,5.0,4.0,1.0,0.0,Crashed while making an approach to Le Bourget Airport in Paris. Pilot aborted the landing due to another aircraft on the runway.,9,1921,Unknown,173,843,1988,3708,1.0,0.0,Fall
Australia,West Australian Airways,Unknown,Geraldton - Derby,Bristol 28 Tourer,G-AUDI,6116,2.0,0.0,2.0,2.0,0.0,2.0,0.0,On approach to Geraldton the plane crashed near the Murchinson River. Considered the first commercial flight in Australila.,12,1921,Unknown,60,2109,675,1265,1.0,0.0,Winter
France,Handley Page Transport,Unknown,Unknown,Handley Page O/10,G-EATN,HP-43,5.0,4.0,1.0,5.0,4.0,1.0,5.0,Crashed at Le Bourget field.,1,1922,Unknown,173,916,1454,3613,1.0,0.0,Winter
Virginia,Military - US,Unknown,Unknown,Dirigible Roma (airship),Unknown,,45.0,,,34.0,,,0.0,Crashed from a height of 500 ft. after experiencing control problems cause by malfunctioning controls.,2,1922,Unknown,524,1331,993,3613,0.7555555555555555,0.24444444444444446,Winter
North Atlantic Ocean,Aero Limited,Unknown,Miami - Bimini,Aeromarine Model 85 (flying boat),Unknown,,6.0,5.0,1.0,5.0,5.0,0.0,0.0,"The plane ditched into the ocean about 40 miles East of Florida after a propeller blade broke. Only the pilot survived, being picked up over 2 days later. The flying boat was named Miss Miami.",3,1922,Morning,339,64,45,2219,0.8333333333333334,0.16666666666666663,Spring
France,Daimler Airways / Grands Express Aeriens,Unknown,Croydon - Le Bourget,de Havilland DH-18 / Farman F-60 Goliath,G-EAOW/FGEAD,4,7.0,5.0,2.0,7.0,5.0,2.0,0.0,"A midair collision occurred at 400 ft. in poor visibility approximately 18 miles north of Beauvais, France. The pilots of both planes were using the road as a route marker in bad weather and poor visibility. This was the  first commercial midair collision in aviation history. Two killed on the de Havilland, five on the Faman F-60.",4,1922,Afternoon,173,709,2406,968,1.0,0.0,Spring
China,Unknown,Unknown,Test,Unknown,Unknown,,17.0,0.0,17.0,17.0,0.0,17.0,0.0,Aboard were all workers taking part in a flight test. All seventeen aboard were Chinese nationals.,4,1922,Unknown,118,2056,2242,3475,1.0,0.0,Spring
England,Cie des Messageries Aeriennes,Unknown,Croydon - Paris,Bleriot Spad 27,F-ACMH,555,3.0,2.0,1.0,3.0,2.0,1.0,0.0,Went down into the English Channel while en route.,6,1922,Unknown,162,640,353,971,1.0,0.0,Summer
Germany,Unknown,Unknown,Hamburg - Berlin,LVG C VI,Unknown,,3.0,2.0,1.0,2.0,1.0,1.0,0.0,"The passenger/mail plane lost it's engine while taking off and crashed into trees. Actress Fern Andra survived the accident but her director, Georg Bluen did not. The pilot, Lothar von Richthofen, was also killed. He was a World War I ace and brother of Manfred von Richthofen (The Red Baron).",7,1922,Unknown,184,2056,1603,1347,0.6666666666666666,0.33333333333333337,Summer
France,Compagnie Franco-Roumaine de Navigaation Aerienne,Unknown,Strasbourg - Paris,Potez 29,F-FREI,25,5.0,4.0,1.0,5.0,4.0,1.0,0.0,Lost an engine and could not make an emergency landing because of gusty winds. Stalled while making a turn and crashed.,7,1922,Afternoon,173,657,1986,3334,1.0,0.0,Summer
Spain,Grands Express Aeriens,Unknown,Unknown,Breguet 14,F-ALVE,117,3.0,2.0,1.0,3.0,2.0,1.0,0.0,"While attempting to make an emergency landing due to engine problems, the aircraft hit telephone lines and crashed.",7,1922,Unknown,470,895,663,3613,1.0,0.0,Summer
Indiana,US Aerial Mail Service,Unknown,Unknown,De Havilland DH-4,227,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,The plane stalled shortly after takeoff and crashed.,9,1922,Unknown,224,2010,974,3613,1.0,0.0,Fall
Italy,de Havilland Air Service,Unknown,Venice - London,de Havilland DH-9,G-EAYT,14,4.0,3.0,1.0,4.0,3.0,1.0,0.0,Shortly after taking off the plane crashed into the sea and sank.,10,1922,Unknown,233,2153,2417,3647,1.0,0.0,Fall
Morocco,Grands Express Aeriens,Unknown,Unknown,Breguet 14,Unknown,,2.0,1.0,1.0,2.0,1.0,1.0,0.0,Crashed under unknown circumstances.,10,1922,Unknown,297,895,663,3613,1.0,0.0,Fall
Morocco,Grands Express Aeriens,Unknown,Toulouse - Barcelona - Valencia - Alicante - Malaga - Rabat,Breguet 14,F-ALNA,14,1.0,0.0,1.0,1.0,0.0,1.0,0.0,While flying in foggy conditions the pilot reduced altitude and crashed into a hill.,12,1922,Unknown,297,895,663,3536,1.0,0.0,Winter
France,Amee de l'Air,Unknown,Unknown,Lioré-et-Olivier H-13,F-AEIB,4,4.0,2.0,2.0,3.0,1.0,2.0,0.0,The plane crashed mid-air due to a structural failure of the tail.,1,1923,Unknown,173,358,1653,3613,0.75,0.25,Winter
Spain,Grands Express Aeriens,Unknown,Unknown,Breguet 14,F-ALJU,6083-130,1.0,0.0,1.0,1.0,0.0,1.0,0.0,Crashed into a mountain during a snowstorm.,1,1923,Unknown,470,895,663,3613,1.0,0.0,Winter
Wyoming,US Aerial Mail Service,Unknown,Unknown,De Havilland DH-4,223,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,Crashed during a mail flight.,1,1923,Unknown,539,2010,974,3613,1.0,0.0,Winter
Pennsylvania,US Aerial Mail Service,Unknown,Unknown,De Havilland DH-4,291,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,The pilot lost control of the aircraft  while on approach in poor weather conditions.,2,1923,Unknown,405,2010,974,3613,1.0,0.0,Winter
France,Grands Express Aeriens (Air Union),Unknown,Paris - London,Farman F-60 Goliath,F-AEBY,15,6.0,4.0,2.0,6.0,4.0,2.0,0.0,"Broke-up in mid air after suffering structural failure at 3,000 ft. after a onboard fire weakened the plane's structure losing a wing. Possibly started by a passenger discarding a match after lighting a cigarette.",5,1923,Afternoon,173,896,1324,2683,1.0,0.0,Spring
United Kingdom,Air Union,Unknown,Paris - Berck-sur-Mer - Croydon,Farman F.60 Goliath,F-AECB,4,11.0,9.0,2.0,1.0,1.0,0.0,0.0,"The aircraft lost an engine about 45 minutes into the flight. As the plane was incapable of maintaining level flight with only one engine operating, the pilot decided to make an emergency landing. He asked the mechanic to ask two passengers to move towards the rear of the aircraft. This instruction was apparently misunderstood by the passengers, as four of them moved towards the rear of the aircraft. This affected the center of gravity of the aircraft, which then entered into a spin and crashed.",8,1923,Afternoon,511,285,1326,2669,0.09090909090909091,0.9090909090909091,Summer
Romania,Campagnie France Roumaine,Unknown,Unknown,Blériot Spad 46,F-AEGN,28,2.0,1.0,1.0,2.0,1.0,1.0,0.0,Crashed while on approach to Bucharesst.,8,1923,Unknown,427,568,357,3613,1.0,0.0,Summer
Ohio,US Aerial Mail Service,Unknown,Unknown,De Havilland DH-4,283,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,Crashed during an emergency landing attempt.,9,1923,Unknown,379,2010,974,3613,1.0,0.0,Fall
England,Daimler Airways,Unknown,Croydon - Manchester,de Havilland DH-34,G-EBBS,29,5.0,3.0,2.0,5.0,3.0,2.0,0.0,Crashed while attempting a forced landing after encountering heavy rain.,9,1923,Night,162,708,2407,970,1.0,0.0,Fall
Russia,CCCP,Unknown,Unknown,Junkers F-13,D-257,,5.0,2.0,3.0,3.0,1.0,2.0,0.0,Crashed during a training flight.,11,1923,Unknown,428,551,1565,3613,0.6,0.4,Fall
Ohio,US Aerial Mail Service,Unknown,Unknown,De Havilland DH-4,318,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,Crashed under unknown circumstances.,12,1923,Unknown,379,2010,974,3613,1.0,0.0,Winter
Over the Mediterranean Sea,Military - French,Unknown,Toulon - Algiers,Zeppelin Dixmunde (airship),L-72,,52.0,,,52.0,,,0.0,"Crashed while on a flight from Toulon, France to Algiers, Algeria.  The last known radio contact reported the ship nearly out of fuel and battling strong winds.  Struck by lightning.",12,1923,Overnight,392,1269,2342,3534,1.0,0.0,Winter
WY,US Aerial Mail Service,Unknown,Unknown,De Havilland DH-4,315,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,Crashed into a montain in poor weather conditions.,12,1923,Unknown,526,2010,974,3613,1.0,0.0,Winter
Pennsylvania,US Aerial Mail Service,Unknown,Unknown,De Havilland DH-4,327,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,Crashed during a snowstorm.,3,1924,Unknown,405,2010,974,3613,1.0,0.0,Spring
Over the English Channel,KLM Royal Dutch Airlines,Unknown,"Lympne, England - Rotterdam, The Netherlands",Fokker F.III,H-NABS,1535,3.0,2.0,1.0,3.0,2.0,1.0,0.0,The aircraft disappeared over the North Sea. The plane and passengers were never found.,4,1924,Unknown,389,1031,1369,2008,1.0,0.0,Spring
Colombia,SCADTA,Unknown,Barranquilla - Bogota,Junkers F-13,A16,684,5.0,3.0,2.0,5.0,3.0,2.0,0.0,Stalled after taking off and crashed into houses..,6,1924,Unknown,121,1668,1565,376,1.0,0.0,Summer
United States,US Aerial Mail Service,Unknown,Unknown,De Havilland DH-4,297,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,"The pliot made a low pass in honor of another pilot who had died, stalled and cashed.",8,1924,Unknown,512,2010,974,3613,1.0,0.0,Summer
France,Grands Express Aeriens,Unknown,Unknown,Breguet 14,F-AFBD,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,"While en route the pilot encountered thunderstorms, lost control and crashed.",11,1924,Unknown,173,895,663,3613,1.0,0.0,Fall
Indiana,US Aerial Mail Service,Unknown,Unknown,De Havilland DH-4,311,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,"Lost in a snowstorm, the pilot decided to bail out of the plane but was killed.",12,1924,Unknown,224,2010,974,3613,1.0,0.0,Winter
England,Imperial Airways,Unknown,London - Paris,de Havilland DH-34B,G-EBBX,36,8.0,7.0,1.0,8.0,7.0,1.0,0.0,"Shortly after taking off, witnesses observed a puff of white smoke after which the plane nose-dived into the ground. Crashed due to an unknown mechanical failure and subsiquent stall. Captain Stewart and seven passengers were killed in an attempted forced landing.",12,1924,Afternoon,162,966,2408,1927,1.0,0.0,Winter
USSR,Zakavia,Unknown,Tiflis - Suchumi,Junkers F-13,R-RECA,590,5.0,3.0,2.0,5.0,3.0,2.0,0.0,Shortly after take off the plane went out of control and crashed in flames.,3,1925,Unknown,506,2149,1565,3490,1.0,0.0,Spring
Spain,Grands Express Aeriens,Unknown,Alicante - Barcelona - Toulouse,Breguet 14,F-AFBB,202,3.0,1.0,2.0,3.0,1.0,2.0,0.0,"Shortly after takeoff, while flying at a low altitude, in poor visibility, the, aircraft hit a lightning rod, stalled and crashed.",4,1925,Unknown,470,895,663,164,1.0,0.0,Spring
France,KLM Royal Dutch Airlines,Unknown,Amsterdam - Paris,Fokker (KLM)  F.III,H-NABM,1502,4.0,3.0,1.0,4.0,3.0,1.0,0.0,"While in a turn in bad weather, the right wing struck trees and the plane crashed. Failure of an aileron in flight.",6,1925,Unknown,173,1031,1333,190,1.0,0.0,Summer
Spain,Grands Express Aeriens,Unknown,Oran - Alicante,Lioré-et-Olivier LeO H-13,F-FREM,,2.0,0.0,2.0,2.0,0.0,2.0,0.0,While attempting to land the seaplane hit a lightning mast and crashed.,6,1925,Unknown,470,895,1655,2599,1.0,0.0,Summer
